Any,Codi municipi,Municipi,Comarca,Població,Autocompostatge,Matèria orgànica,Poda i jardineria,Paper i cartró,Vidre,Envasos lleugers,Residus voluminosos + fusta,RAEE,Ferralla,Olis vegetals,Tèxtil,Runes,Residus en Petites Quantitats (RPQ),Piles,Medicaments,Altres recollides selectives,Total Recollida Selectiva,R.S. / R.M. % total,Kg/hab/any recollida selectiva,Resta a Dipòsit,Resta a Incineració,Resta a Tractament Mecànic Biològic,Resta (sense desglossar),Suma Fracció Resta,F.R. / R.M. %,Generació Residus Municipal Totals,Kg / hab / dia,Kg / hab / any
2000,439039,Camarles,Baix Ebre,2953,,0,0,21.64,20.73,1.59,0,,,,,,,0,0.14,0,44.1,3.87,14.93,,,,1094.36,1094.36,96.13,1138.46,1.06,385.53
2000,439018,Deltebre,Baix Ebre,10157,,0,0,63.45,110.15,9.55,0,,,,,,,0,0.48,0,183.63,3.6,18.08,,,,4911.3,4911.3,96.4,5094.93,1.37,501.62
2000,431021,Paüls,Baix Ebre,651,,0,0,3.66,8.04,0.38,0,,,,,,,0,0.03,0,12.11,4.22,18.6,,,,274.86,274.86,95.78,286.97,1.21,440.82
2000,431042,"Perelló, el",Baix Ebre,2152,,0,0,39.8,35.05,3.39,0,,,,,,,0.08,0.1,0,78.43,8.52,36.44,,,,841.9,841.9,91.48,920.33,1.17,427.66
2000,431331,Roquetes,Baix Ebre,6057,,0,0,94.98,70.94,16.04,0,,,,,,,0.04,0.29,0,182.29,7.71,30.1,,,,2181.96,2181.96,92.29,2364.25,1.07,390.33
2000,431495,Tivenys,Baix Ebre,961,,0,0,8.58,9.31,1.14,0,,,,,,,0,0.05,0,19.08,7.52,19.85,,,,234.56,234.56,92.48,253.64,0.72,263.93
2000,431554,Tortosa,Baix Ebre,30088,,0,0,352.42,256.42,32.96,0,,,,,,,2.33,1.42,0,645.55,4.85,21.46,,,,12656.92,12656.92,95.15,13302.47,1.21,442.12
2000,430521,Xerta,Baix Ebre,1216,,0,0,6.37,12.97,0.34,0,,,,,,,0,0.06,0,19.74,3.7,16.23,,,,513.4,513.4,96.3,533.14,1.2,438.44
2000,170046,Albons,Baix Empordà,513,,0,0,10.91,11.8,2.94,0,,,,,,,0,0.02,0,25.67,12.1,50.05,,,,186.59,186.59,87.9,212.26,1.13,413.77
2000,170139,Begur,Baix Empordà,3039,,0,0,159.39,125.92,35.76,0,,,,,,,0,0.14,0,321.21,6.28,105.7,,,,4795.08,4795.08,93.72,5116.29,4.61,1683.55
2000,170182,Bellcaire d'Empordà,Baix Empordà,487,,0,0,6.75,14,2.24,0,,,,,,,0,0.02,0,23.01,7.74,47.25,,,,274.37,274.37,92.26,297.38,1.67,610.64
2000,170221,"Bisbal d'Empordà, la",Baix Empordà,8007,,0,0,74.6,84.2,23.57,0,,,,,,,0,0.38,0,182.75,4.23,22.82,,,,4142.14,4142.14,95.77,4324.89,1.48,540.14
2000,170340,Calonge,Baix Empordà,5832,,0,584.88,213.9,200.82,33.49,221.27,,,,,,,0.62,0.28,408.26,1663.52,16.26,285.24,,,,8566.81,8566.81,83.74,10230.33,4.81,1754.17
2000,170486,Castell-Platja d'Aro,Baix Empordà,5177,,216.7,0,85.36,219.8,24.61,0,,,,,,,0,0.24,0,546.71,4.32,105.6,,,,12121.57,12121.57,95.68,12668.28,6.7,2447.03
2000,170558,Colomers,Baix Empordà,212,,0,0,4.34,4.6,1.37,0,,,,,,,0,0.01,0,10.32,8.51,48.68,,,,110.91,110.91,91.49,121.23,1.57,571.84
2000,170577,Corçà,Baix Empordà,1151,,0,0,15.49,18.8,5.11,0,,,,,,,0,0.05,0,39.45,6.18,34.28,,,,598.94,598.94,93.82,638.39,1.52,554.64
2000,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,1099,,0,0,14.03,24.6,3.64,0,,,,,,,0,0.05,0,42.32,9.63,38.51,,,,396.95,396.95,90.37,439.27,1.1,399.7
2000,170681,Foixà,Baix Empordà,317,,0,0,5.91,8,2.33,0,,,,,,,0,0.02,0,16.25,9.45,51.28,,,,155.84,155.84,90.55,172.09,1.49,542.89
2000,170708,Fontanilles,Baix Empordà,119,,0,0,1.89,4.4,0.86,0,,,,,,,0,0.01,0,7.16,7.46,60.13,,,,88.77,88.77,92.54,95.93,2.21,806.1
2000,179026,Forallac,Baix Empordà,1633,,0,0,34.84,33.6,7.48,0,,,,,,,0,0.08,0,76,6.8,46.54,,,,1041.94,1041.94,93.2,1117.94,1.88,684.59
2000,170767,Garrigoles,Baix Empordà,149,,0,0,1.79,3.6,0.63,0,,,,,,,0,0.01,0,6.03,8.49,40.45,,,,64.95,64.95,91.51,70.98,1.31,476.36
2000,170813,Gualta,Baix Empordà,270,,0,0,4.25,5.4,1.21,0,,,,,,,0,0.01,0,10.87,9.74,40.27,,,,100.8,100.8,90.26,111.67,1.13,413.6
2000,170852,Jafre,Baix Empordà,340,,0,0,9.59,8.6,3.89,0,,,,,,,0,0.02,0,22.1,14.86,64.99,,,,126.55,126.55,85.14,148.65,1.2,437.19
2000,171100,Mont-ras,Baix Empordà,1500,,0,0,28.8,28.6,5.02,0,,,,,,,0,0.07,0,62.49,5.64,41.66,,,,1046.11,1046.11,94.36,1108.6,2.02,739.07
2000,171175,Palafrugell,Baix Empordà,17303,,0,0,250.2,234,50.04,0,,,,,,,0,0.82,0,535.06,3.31,30.92,,,,15653.1,15653.1,96.69,16188.16,2.56,935.57
2000,171181,Palamós,Baix Empordà,14239,,0,70.87,154.6,237.8,75.37,366.88,,,,,,,0.66,0.67,560.96,1467.81,11.57,103.08,,,,11216.4,11216.4,88.43,12684.21,2.44,890.81
2000,171215,Palau-sator,Baix Empordà,286,,0,0,6.87,24.2,1.98,0,,,,,,,0,0.01,0,33.06,14.54,115.61,,,,194.27,194.27,85.46,227.33,2.18,794.87
2000,171241,Pals,Baix Empordà,1770,,0,0,41.35,120.6,19.63,0,,,,,,,0,0.08,0,181.66,6.12,102.63,,,,2784.68,2784.68,93.88,2966.34,4.59,1675.9
2000,171267,Parlavà,Baix Empordà,337,,0,0,10.23,9.6,3.21,0,,,,,,,0,0.02,0,23.06,14.84,68.42,,,,132.27,132.27,85.16,155.33,1.26,460.91
2000,171306,"Pera, la",Baix Empordà,355,,0,0,20.46,14,4.25,0,,,,,,,0,0.02,0,38.73,18.9,109.09,,,,166.23,166.23,81.1,204.96,1.58,577.34
2000,171447,Regencós,Baix Empordà,278,,0,0,5.19,4.4,1.7,0,,,,,,,0,0.01,0,11.3,9.19,40.66,,,,111.75,111.75,90.81,123.05,1.21,442.64
2000,171539,Rupià,Baix Empordà,184,,0,0,7.34,6,2.71,0,,,,,,,0,0.01,0,16.06,18.75,87.28,,,,69.6,69.6,81.25,85.66,1.28,465.54
2000,171609,Sant Feliu de Guíxols,Baix Empordà,17779,,236.8,113.24,248.41,178.29,75.93,305.64,,,,,,,0.82,0.84,748.79,1908.76,13.14,107.36,,,,12616.3,12616.3,86.86,14525.06,2.24,816.98
2000,171812,Santa Cristina d'Aro,Baix Empordà,2443,,0,0,67.34,90.8,12.5,0,,,,,,,0,0.12,0,170.76,4.96,69.9,,,,3275,3275,95.04,3445.76,3.86,1410.46
2000,171910,Serra de Daró,Baix Empordà,174,,0,0,3.71,3.8,1.49,0,,,,,,,0,0.01,0,9.01,8.87,51.77,,,,92.54,92.54,91.13,101.55,1.6,583.61
2000,171959,"Tallada d'Empordà, la",Baix Empordà,327,,0,0,8.49,9.6,2.62,0,,,,,,,0,0.02,0,20.73,12.93,63.38,,,,139.51,139.51,87.07,160.24,1.34,490.02
2000,171978,Torrent,Baix Empordà,176,,0,0,2.99,3.2,1.04,0,,,,,,,0,0.01,0,7.24,5.21,41.13,,,,131.56,131.56,94.79,138.8,2.16,788.63
2000,171997,Torroella de Montgrí,Baix Empordà,7726,,0,454.6,254.34,248.3,36.79,95.86,,,,,,,0.5,0.36,569.91,1660.66,13.71,214.94,,,,10448,10448,86.29,12108.66,4.29,1567.26
2000,172044,Ullà,Baix Empordà,787,,0,0,13.98,11,4.67,0,,,,,,,0,0.04,0,29.69,7.87,37.72,,,,347.31,347.31,92.13,377,1.31,479.03
2000,172057,Ullastret,Baix Empordà,243,,0,0,6.29,9,1.73,0,,,,,,,0,0.01,0,17.03,11.36,70.09,,,,132.84,132.84,88.64,149.87,1.69,616.76
2000,172039,Ultramort,Baix Empordà,188,,0,0,2.12,2.8,0.84,0,,,,,,,0,0.01,0,5.77,6.13,30.69,,,,88.33,88.33,93.87,94.1,1.37,500.53
2000,172095,Vall-llobrega,Baix Empordà,295,,0,0,31.52,29.8,8.58,0,,,,,,,0,0.01,0,69.91,18.42,237,,,,309.6,309.6,81.58,379.51,3.52,1286.49
2000,172116,Verges,Baix Empordà,1090,,0,0,11.68,11.6,3.68,0,,,,,,,0,0.05,0,27.01,6.05,24.78,,,,419.4,419.4,93.95,446.41,1.12,409.55
2000,172327,Vilopriu,Baix Empordà,161,,0,0,1.34,1.6,0.55,0,,,,,,,0,0.01,0,3.5,3.39,21.72,,,,99.78,99.78,96.61,103.28,1.76,641.48
2000,080018,Abrera,Baix Llobregat,7003,,0,32.66,170.18,110.68,31.71,10.3,,,,,,,0.73,0.33,148.32,504.91,7.14,72.1,,,,6565.1,6565.1,92.86,7070.01,2.77,1009.57
2000,080207,Begues,Baix Llobregat,3105,,0,0,96,66,23,103.72,,,,,,,0.25,0.15,0,289.12,10.71,93.11,,,,2411,2411,89.29,2700.12,2.38,869.6
2000,080569,Castelldefels,Baix Llobregat,38509,,124.5,3033,613.6,593.6,145.84,1083.19,,,,,,,2.1,1.82,1022.64,6620.29,20.96,171.92,,,,24972,24972,79.04,31592.29,2.25,820.39
2000,080667,Castellví de Rosanes,Baix Llobregat,933,,0,0,41.1,22.4,0,0,,,,,,,0.15,0.04,0,63.69,5.17,68.27,,,,1169.3,1169.3,94.83,1232.99,3.62,1321.54
2000,080689,Cervelló,Baix Llobregat,4752,,0,0,121.34,71.5,0,0,,,,,,,0.2,0.22,0,193.26,4.36,40.67,,,,4238.92,4238.92,95.64,4432.18,2.56,932.7
2000,080692,Collbató,Baix Llobregat,1566,,0,224.78,57.91,55.3,4.82,95.82,,,,,,,0,0.07,0,438.7,21.02,280.14,,,,1648.32,1648.32,78.98,2087.02,3.65,1332.71
2000,080728,Corbera de Llobregat,Baix Llobregat,7600,,0,0,232.56,125.84,0,0,,,,,,,0.69,0.36,0,359.45,8.67,47.3,,,,3784.68,3784.68,91.33,4144.13,1.49,545.28
2000,080734,Cornellà de Llobregat,Baix Llobregat,82490,,136,6.18,913.2,592.46,303.1,1333.95,,,,,,,2.36,3.89,273.73,3564.87,10.31,43.22,,,,31000.56,31000.56,89.69,34565.43,1.15,419.03
2000,080765,Esparreguera,Baix Llobregat,14501,,0,0,237.29,100.02,0,280.12,,,,,,,0.65,0.68,0,618.76,6.64,42.67,,,,8699.71,8699.71,93.36,9318.47,1.76,642.61
2000,080771,Esplugues de Llobregat,Baix Llobregat,46810,,0,0,1075,555,202,736.84,,,,,,,9.15,2.21,0,2580.2,13.09,55.12,,,,17126,17126,86.91,19706.2,1.15,420.98
2000,080898,Gavà,Baix Llobregat,37985,,68.4,70,523,473.64,134.34,767.69,,,,,,,1.65,1.79,1513.25,3553.76,16.71,93.56,,,,17712,17712,83.29,21265.76,1.53,559.85
